  STN,YYYYMMDD,DDVEC
  380,20130101,  221
  380,20130102,  221
  380,20130103,  231
  380,20130104,  251
  380,20130105,  249
  380,20130106,  249
  380,20130107,  232
  380,20130108,  224
  380,20130109,  220
  380,20130110,  248
  380,20130111,   53
  380,20130112,   85
  380,20130113,   66
  380,20130114,  213
  380,20130115,   22
  380,20130116,  342
  380,20130117,  346
  380,20130118,   87
  380,20130119,   76
  380,20130120,   70
  380,20130121,  138
  380,20130122,   52
  380,20130123,   39
  380,20130124,   36
  380,20130125,  136
  380,20130126,  192
  380,20130127,  205
  380,20130128,  209
  380,20130129,  218
  380,20130130,  233
  380,20130131,  231
  380,20130201,  229
  380,20130202,  320
  380,20130203,  239
  380,20130204,  241
  380,20130205,  226
  380,20130206,  277
  380,20130207,  276
  380,20130208,  317
  380,20130209,  246
  380,20130210,  146
  380,20130211,   91
  380,20130212,   59
  380,20130213,  109
  380,20130214,  183
  380,20130215,  209
  380,20130216,  217
  380,20130217,   64
  380,20130218,   79
  380,20130219,  242
  380,20130220,   52
  380,20130221,   45
  380,20130222,   48
  380,20130223,   29
  380,20130224,   17
  380,20130225,   25
  380,20130226,   39
  380,20130227,   46
  380,20130228,   42
  380,20130301,   31
  380,20130302,   36
  380,20130303,   73
  380,20130304,   88
  380,20130305,  123
  380,20130306,   84
  380,20130307,  158
  380,20130308,  123
  380,20130309,  239
  380,20130310,  339
  380,20130311,   50
  380,20130312,   41
  380,20130313,  226
  380,20130314,  322
  380,20130315,  201
  380,20130316,  171
  380,20130317,  172
  380,20130318,  191
  380,20130319,  211
  380,20130320,    7
  380,20130321,   47
  380,20130322,   80
  380,20130323,   80
  380,20130324,   75
  380,20130325,   58
  380,20130326,   60
  380,20130327,   69
  380,20130328,   40
  380,20130329,    6
  380,20130330,   37
  380,20130331,   32
  380,20130401,   58
  380,20130402,   54
  380,20130403,   65
  380,20130404,   59
  380,20130405,   49
  380,20130406,   36
  380,20130407,   67
  380,20130408,  113
  380,20130409,  176
  380,20130410,  214
  380,20130411,  219
  380,20130412,  219
  380,20130413,  222
  380,20130414,  188
  380,20130415,  222
  380,20130416,  224
  380,20130417,  206
  380,20130418,  240
  380,20130419,  266
  380,20130420,   34
  380,20130421,    6
  380,20130422,  237
  380,20130423,  229
  380,20130424,  226
  380,20130425,  232
  380,20130426,  321
  380,20130427,   11
  380,20130428,   95
  380,20130429,  236
  380,20130430,   48
  380,20130501,   56
  380,20130502,   47
  380,20130503,   25
  380,20130504,  238
  380,20130505,  232
  380,20130506,   27
  380,20130507,  165
  380,20130508,  201
  380,20130509,  234
  380,20130510,  224
  380,20130511,  221
  380,20130512,  238
  380,20130513,  233
  380,20130514,  210
  380,20130515,  197
  380,20130516,  287
  380,20130517,  272
  380,20130518,  322
  380,20130519,   17
  380,20130520,  242
  380,20130521,  275
  380,20130522,  312
  380,20130523,  338
  380,20130524,  186
  380,20130525,  318
  380,20130526,  272
  380,20130527,  235
  380,20130528,  156
  380,20130529,  236
  380,20130530,  203
  380,20130531,  333
  380,20130601,  321
  380,20130602,  354
  380,20130603,   14
  380,20130604,   36
  380,20130605,   34
  380,20130606,   58
  380,20130607,   32
  380,20130608,   22
  380,20130609,   19
  380,20130610,  341
  380,20130611,  220
  380,20130612,  205
  380,20130613,  222
  380,20130614,  209
  380,20130615,  227
  380,20130616,  231
  380,20130617,   50
  380,20130618,   76
  380,20130619,   18
  380,20130620,  190
  380,20130621,  216
  380,20130622,  208
  380,20130623,  221
  380,20130624,  249
  380,20130625,  336
  380,20130626,  273
  380,20130627,  288
  380,20130628,  220
  380,20130629,  305
  380,20130630,  222
  380,20130701,  244
  380,20130702,  226
  380,20130703,  229
  380,20130704,  234
  380,20130705,  288
  380,20130706,   51
  380,20130707,   41
  380,20130708,   39
  380,20130709,   30
  380,20130710,   18
  380,20130711,   32
  380,20130712,    8
  380,20130713,  360
  380,20130714,   17
  380,20130715,  317
  380,20130716,   22
  380,20130717,   41
  380,20130718,   43
  380,20130719,   41
  380,20130720,   49
  380,20130721,   65
  380,20130722,  215
  380,20130723,  226
  380,20130724,  239
  380,20130725,  143
  380,20130726,  149
  380,20130727,  197
  380,20130728,  231
  380,20130729,  224
  380,20130730,  218
  380,20130731,  234
  380,20130801,  166
  380,20130802,  182
  380,20130803,  240
  380,20130804,  188
  380,20130805,  184
  380,20130806,  252
  380,20130807,   15
  380,20130808,  319
  380,20130809,  219
  380,20130810,  260
  380,20130811,  224
  380,20130812,  247
  380,20130813,  274
  380,20130814,  220
  380,20130815,  199
  380,20130816,  211
  380,20130817,  221
  380,20130818,  213
  380,20130819,  275
  380,20130820,  166
  380,20130821,  105
  380,20130822,   34
  380,20130823,   93
  380,20130824,  134
  380,20130825,  244
  380,20130826,   52
  380,20130827,   49
  380,20130828,    2
  380,20130829,  230
  380,20130830,  230
  380,20130831,  282
  380,20130901,  260
  380,20130902,  244
  380,20130903,  123
  380,20130904,   73
  380,20130905,  174
  380,20130906,  234
  380,20130907,  214
  380,20130908,   81
  380,20130909,  226
  380,20130910,  243
  380,20130911,  268
  380,20130912,  275
  380,20130913,  210
  380,20130914,  230
  380,20130915,  225
  380,20130916,  237
  380,20130917,  212
  380,20130918,  277
  380,20130919,  222
  380,20130920,  248
  380,20130921,  212
  380,20130922,  229
  380,20130923,  239
  380,20130924,   67
  380,20130925,  220
  380,20130926,    9
  380,20130927,   59
  380,20130928,   71
  380,20130929,   80
  380,20130930,   86
  380,20131001,   86
  380,20131002,   99
  380,20131003,  104
  380,20131004,  193
  380,20131005,  308
  380,20131006,  159
  380,20131007,  186
  380,20131008,  217
  380,20131009,  226
  380,20131010,  247
  380,20131011,   70
  380,20131012,  104
  380,20131013,  186
  380,20131014,  183
  380,20131015,  232
  380,20131016,  213
  380,20131017,  228
  380,20131018,  149
  380,20131019,  192
  380,20131020,  200
  380,20131021,  195
  380,20131022,  174
  380,20131023,  211
  380,20131024,  190
  380,20131025,  188
  380,20131026,  209
  380,20131027,  216
  380,20131028,  220
  380,20131029,  222
  380,20131030,  209
  380,20131031,  201
  380,20131101,  197
  380,20131102,  212
  380,20131103,  221
  380,20131104,  215
  380,20131105,  212
  380,20131106,  227
  380,20131107,  233
  380,20131108,  199
  380,20131109,  217
  380,20131110,  273
  380,20131111,  198
  380,20131112,  214
  380,20131113,  196
  380,20131114,  211
  380,20131115,   33
  380,20131116,  157
  380,20131117,   83
  380,20131118,  208
  380,20131119,  282
  380,20131120,  192
  380,20131121,   51
  380,20131122,   24
  380,20131123,   18
  380,20131124,  343
  380,20131125,  350
  380,20131126,  205
  380,20131127,  218
  380,20131128,  230
  380,20131129,  240
  380,20131130,  280
  380,20131201,  245
  380,20131202,   59
  380,20131203,  211
  380,20131204,  231
  380,20131205,  236
  380,20131206,  266
  380,20131207,  230
  380,20131208,  229
  380,20131209,  226
  380,20131210,  166
  380,20131211,   90
  380,20131212,  184
  380,20131213,  199
  380,20131214,  208
  380,20131215,  208
  380,20131216,  204
  380,20131217,  197
  380,20131218,  200
  380,20131219,  206
  380,20131220,  212
  380,20131221,  201
  380,20131222,  215
  380,20131223,  205
  380,20131224,  199
  380,20131225,  202
  380,20131226,  206
  380,20131227,  198
  380,20131228,  218
  380,20131229,  218
  380,20131230,  193
  380,20131231,  180
  380,20140101,  190
