STN,YYYYMMDD,TG,SQ
  260,20130101,   71,   43
  260,20130102,   67,    0
  260,20130103,  103,   25
  260,20130104,   93,   33
  260,20130105,   81,   54
  260,20130106,   84,    0
  260,20130107,   73,   23
  260,20130108,   73,    0
  260,20130109,   65,   14
  260,20130110,   55,   32
  260,20130111,    7,    1
  260,20130112,    0,   24
  260,20130113,  -21,   13
  260,20130114,  -35,   23
  260,20130115,  -30,    0
  260,20130116,  -72,   19
  260,20130117,  -53,   15
  260,20130118,  -17,   13
  260,20130119,  -39,   59
  260,20130120,  -46,    6
  260,20130121,  -20,    0
  260,20130122,  -40,   30
  260,20130123,  -52,   26
  260,20130124,  -35,   20
  260,20130125,  -53,    0
  260,20130126,  -14,    0
  260,20130127,   40,    0
  260,20130128,   52,   49
  260,20130129,  107,    6
  260,20130130,  103,   22
  260,20130131,   78,   17
  260,20130201,   49,   59
  260,20130202,   39,   33
  260,20130203,   48,   56
  260,20130204,   82,   13
  260,20130205,   34,   43
  260,20130206,   24,   10
  260,20130207,   22,    1
  260,20130208,    9,   33
  260,20130209,   -5,   14
  260,20130210,   -3,   31
  260,20130211,  -15,   20
  260,20130212,   -8,   32
  260,20130213,  -13,   60
  260,20130214,   -7,    0
  260,20130215,   42,   32
  260,20130216,   52,    0
  260,20130217,   29,   37
  260,20130218,   22,    1
  260,20130219,   30,   31
  260,20130220,   -3,   37
  260,20130221,  -12,   36
  260,20130222,  -20,   22
  260,20130223,  -15,   58
  260,20130224,    2,   33
  260,20130225,   17,   23
  260,20130226,   32,   51
  260,20130227,   10,   28
  260,20130228,   23,   31
  260,20130301,   35,   33
  260,20130302,   31,   50
  260,20130303,   38,   44
  260,20130304,   45,   27
  260,20130305,   86,   53
  260,20130306,  112,   41
  260,20130307,   89,   56
  260,20130308,   91,   60
  260,20130309,   47,   46
  260,20130310,   -1,   45
  260,20130311,  -21,   60
  260,20130312,  -25,   40
  260,20130313,   -9,   51
  260,20130314,   -7,   60
  260,20130315,    4,   60
  260,20130316,   53,   60
  260,20130317,   56,   38
  260,20130318,   57,   60
  260,20130319,   33,   49
  260,20130320,   14,   31
  260,20130321,   12,   38
  260,20130322,    5,   46
  260,20130323,   -3,   11
  260,20130324,   -6,   60
  260,20130325,    3,   29
  260,20130326,    7,   53
  260,20130327,   10,   28
  260,20130328,    1,   60
  260,20130329,   -4,   53
  260,20130330,    3,   38
  260,20130331,    5,   54
  260,20130401,   23,   58
  260,20130402,   33,   45
  260,20130403,   30,   44
  260,20130404,   28,   42
  260,20130405,   40,   80
  260,20130406,   42,   69
  260,20130407,   41,   64
  260,20130408,   59,   56
  260,20130409,   65,   40
  260,20130410,   61,   78
  260,20130411,   71,   25
  260,20130412,   86,   71
  260,20130413,  100,   52
  260,20130414,  158,   63
  260,20130415,  123,   68
  260,20130416,  121,   80
  260,20130417,  152,   51
  260,20130418,  124,   78
  260,20130419,   80,   71
  260,20130420,   63,   62
  260,20130421,   73,   80
  260,20130422,   88,   56
  260,20130423,  105,   64
  260,20130424,  135,   57
  260,20130425,  155,   78
  260,20130426,   79,   59
  260,20130427,   66,   80
  260,20130428,   72,   40
  260,20130429,   80,   62
  260,20130430,   85,   64
  260,20130501,  105,   67
  260,20130502,  113,   84
  260,20130503,  123,   80
  260,20130504,  118,   82
  260,20130505,  132,  100
  260,20130506,  155,   87
  260,20130507,  164,  100
  260,20130508,  163,   86
  260,20130509,  131,   77
  260,20130510,  124,  100
  260,20130511,  102,   70
  260,20130512,   95,   86
  260,20130513,  111,  100
  260,20130514,   94,   97
  260,20130515,  117,   82
  260,20130516,   92,  100
  260,20130517,   92,  100
  260,20130518,   98,   71
  260,20130519,  108,   33
  260,20130520,  114,  100
  260,20130521,  103,   66
  260,20130522,   90,   82
  260,20130523,   66,   73
  260,20130524,   79,   82
  260,20130525,   89,   57
  260,20130526,   97,   90
  260,20130527,  135,   69
  260,20130528,  160,  100
  260,20130529,  111,   49
  260,20130530,  131,   82
  260,20130531,  151,   87
  260,20130601,  110,   83
  260,20130602,  121,   78
  260,20130603,  108,   59
  260,20130604,  145,  100
  260,20130605,  162,   77
  260,20130606,  176,  100
  260,20130607,  172,  100
  260,20130608,  141,  100
  260,20130609,  123,   99
  260,20130610,  121,   61
  260,20130611,  154,   95
  260,20130612,  186,   74
  260,20130613,  160,   49
  260,20130614,  150,   69
  260,20130615,  148,  100
  260,20130616,  144,  100
  260,20130617,  179,   65
  260,20130618,  227,  100
  260,20130619,  216,   74
  260,20130620,  195,   96
  260,20130621,  165,  100
  260,20130622,  161,   82
  260,20130623,  146,  100
  260,20130624,  134,   87
  260,20130625,  131,  100
  260,20130626,  130,  100
  260,20130627,  127,   91
  260,20130628,  137,   44
  260,20130629,  141,  100
  260,20130630,  166,   49
  260,20130701,  157,   80
  260,20130702,  166,   80
  260,20130703,  166,   82
  260,20130704,  180,   98
  260,20130705,  183,  100
  260,20130706,  191,   96
  260,20130707,  196,  100
  260,20130708,  194,   92
  260,20130709,  183,  100
  260,20130710,  162,   98
  260,20130711,  148,   84
  260,20130712,  143,  100
  260,20130713,  165,   78
  260,20130714,  165,   90
  260,20130715,  193,   86
  260,20130716,  198,  100
  260,20130717,  211,  100
  260,20130718,  214,   73
  260,20130719,  205,   71
  260,20130720,  184,  100
  260,20130721,  228,   97
  260,20130722,  249,   98
  260,20130723,  243,  100
  260,20130724,  209,   75
  260,20130725,  209,   75
  260,20130726,  217,   86
  260,20130727,  211,  100
  260,20130728,  196,  100
  260,20130729,  204,   79
  260,20130730,  181,   93
  260,20130731,  198,   88
  260,20130801,  246,   80
  260,20130802,  264,   80
  260,20130803,  199,   51
  260,20130804,  198,   80
  260,20130805,  218,   70
  260,20130806,  187,   80
  260,20130807,  150,   80
  260,20130808,  169,   80
  260,20130809,  177,   80
  260,20130810,  162,   80
  260,20130811,  176,   80
  260,20130812,  166,   80
  260,20130813,  150,   62
  260,20130814,  155,   72
  260,20130815,  154,   80
  260,20130816,  187,   57
  260,20130817,  195,   80
  260,20130818,  184,   67
  260,20130819,  162,   66
  260,20130820,  153,   79
  260,20130821,  172,   80
  260,20130822,  172,   80
  260,20130823,  202,   80
  260,20130824,  188,   80
  260,20130825,  177,   80
  260,20130826,  182,   80
  260,20130827,  178,   80
  260,20130828,  172,   75
  260,20130829,  166,   80
  260,20130830,  174,   80
  260,20130831,  167,   74
  260,20130901,  143,   60
  260,20130902,  168,   60
  260,20130903,  189,   34
  260,20130904,  197,   60
  260,20130905,  224,   60
  260,20130906,  197,   60
  260,20130907,  166,   54
  260,20130908,  145,   54
  260,20130909,  127,   54
  260,20130910,  130,   47
  260,20130911,  150,   43
