STN,YYYYMMDD,TG,SQ
  380,20130101,   56,    1
  380,20130102,   52,   22
  380,20130103,   87,   29
  380,20130104,   86,    9
  380,20130105,   70,   11
  380,20130106,   77,   35
  380,20130107,   72,   46
  380,20130108,   57,   47
  380,20130109,   47,   35
  380,20130110,   43,   37
  380,20130111,   -4,   19
  380,20130112,  -14,   33
  380,20130113,  -22,   52
  380,20130114,  -28,    0
  380,20130115,  -18,   23
  380,20130116,  -48,    6
  380,20130117,  -49,   11
  380,20130118,  -26,    6
  380,20130119,  -31,   30
  380,20130120,  -34,   12
  380,20130121,   -5,   23
  380,20130122,  -17,   48
  380,20130123,  -35,   26
  380,20130124,  -44,    0
  380,20130125,  -30,   45
  380,20130126,  -24,    0
  380,20130127,   32,   41
  380,20130128,   41,   53
  380,20130129,   99,   21
  380,20130130,  108,   49
  380,20130131,   73,   51
  380,20130201,   55,   19
  380,20130202,   30,    0
  380,20130203,   33,   47
  380,20130204,   67,   60
  380,20130205,   30,   23
  380,20130206,   10,   23
  380,20130207,   11,   16
  380,20130208,    4,    1
  380,20130209,  -10,   46
  380,20130210,   -9,   54
  380,20130211,  -11,   60
  380,20130212,  -18,    0
  380,20130213,  -12,   39
  380,20130214,  -11,   50
  380,20130215,   24,   30
  380,20130216,   41,   28
  380,20130217,   27,   34
  380,20130218,   13,   60
  380,20130219,   16,   31
  380,20130220,   -7,   14
  380,20130221,  -22,   45
  380,20130222,  -29,   18
  380,20130223,  -31,   59
  380,20130224,   -9,   20
  380,20130225,    3,   35
  380,20130226,   19,   34
  380,20130227,    3,   58
  380,20130228,   14,   22
  380,20130301,   19,   13
  380,20130302,   16,   38
  380,20130303,   24,   39
  380,20130304,   47,   45
  380,20130305,   95,   49
  380,20130306,  108,   39
  380,20130307,  106,   60
  380,20130308,  120,   44
  380,20130309,   83,   51
  380,20130310,    9,   60
  380,20130311,  -27,   41
  380,20130312,  -39,   46
  380,20130313,  -45,   60
  380,20130314,  -18,   60
  380,20130315,   -5,   35
  380,20130316,   46,   23
  380,20130317,   57,   60
  380,20130318,   60,   60
  380,20130319,   41,   17
  380,20130320,   14,   60
  380,20130321,    7,   52
  380,20130322,   13,   60
  380,20130323,    6,   60
  380,20130324,   -7,   35
  380,20130325,   -1,   59
  380,20130326,    0,   55
  380,20130327,    9,   60
  380,20130328,   11,   38
  380,20130329,   -8,   60
  380,20130330,    3,   60
  380,20130331,    5,   60
  380,20130401,   16,   77
  380,20130402,   19,   58
  380,20130403,   17,   80
  380,20130404,   30,   78
  380,20130405,   20,   65
  380,20130406,   30,   56
  380,20130407,   50,   72
  380,20130408,   54,   80
  380,20130409,   65,   80
  380,20130410,   74,   80
  380,20130411,  108,   80
  380,20130412,   99,   60
  380,20130413,  108,   80
  380,20130414,  172,   72
  380,20130415,  147,   80
  380,20130416,  146,   80
  380,20130417,  180,   79
  380,20130418,  139,   35
  380,20130419,   85,   80
  380,20130420,   74,   71
  380,20130421,   88,   47
  380,20130422,   98,   51
  380,20130423,  112,   63
  380,20130424,  151,   72
  380,20130425,  175,   80
  380,20130426,  107,   80
  380,20130427,   68,   70
  380,20130428,   71,   48
  380,20130429,   89,   70
  380,20130430,   99,   80
  380,20130501,  126,   95
  380,20130502,  140,   77
  380,20130503,  141,   73
  380,20130504,  123,   88
  380,20130505,  137,   88
  380,20130506,  163,   68
  380,20130507,  147,   92
  380,20130508,  154,   81
  380,20130509,  134,  100
  380,20130510,  115,  100
  380,20130511,  107,   50
  380,20130512,   90,  100
  380,20130513,  113,   96
  380,20130514,  104,   73
  380,20130515,  127,   87
  380,20130516,   93,  100
